"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 13 22:08:15 MSK 2026","Mon Apr 13 22:08:16 MSK 2026","1187","","Создание пользователя","","CreateUserTest","shouldCreateUniqueUser","shouldCreateUniqueUser","Успешное создание уникального пользователя — код 200 и success: true"
"passed","Mon Apr 13 22:07:45 MSK 2026","Mon Apr 13 22:07:48 MSK 2026","3186","","Логин пользователя","","LoginUserTest","shouldReturnErrorWithWrongEmail","shouldReturnErrorWithWrongEmail","Логин с неверным email — код 401 и сообщение об ошибке"
"passed","Mon Apr 13 22:08:14 MSK 2026","Mon Apr 13 22:08:15 MSK 2026","1205","","Создание заказа","","CreateOrderTest","shouldReturnErrorWhenNoIngredientsWithAuth","shouldReturnErrorWhenNoIngredientsWithAuth","С авторизацией без ингредиентов — код 400"
"passed","Mon Apr 13 22:08:17 MSK 2026","Mon Apr 13 22:08:18 MSK 2026","1378","","Создание пользователя","","CreateUserTest","shouldReturnErrorForDuplicateUser","shouldReturnErrorForDuplicateUser","Нельзя создать пользователя, который уже зарегистрирован — код 403"
"passed","Mon Apr 13 22:08:05 MSK 2026","Mon Apr 13 22:08:07 MSK 2026","1417","","Создание заказа","","CreateOrderTest","shouldReturnErrorWithInvalidIngredientHashWithoutAuth","shouldReturnErrorWithInvalidIngredientHashWithoutAuth","Без авторизации и неверным хешем ингредиентов — код 500"
"passed","Mon Apr 13 22:07:43 MSK 2026","Mon Apr 13 22:07:45 MSK 2026","1267","","Логин пользователя","","LoginUserTest","shouldReturnErrorWithWrongPassword","shouldReturnErrorWithWrongPassword","Логин с неверным паролем — код 401 и сообщение об ошибке"
"passed","Mon Apr 13 22:07:48 MSK 2026","Mon Apr 13 22:07:51 MSK 2026","3213","","Изменение данных пользователя","","UpdateUserTest","shouldReturnErrorWhenUpdateNameWithoutAuth","shouldReturnErrorWhenUpdateNameWithoutAuth","Без авторизации: изменение name возвращает ошибку 401"
"passed","Mon Apr 13 22:08:01 MSK 2026","Mon Apr 13 22:08:04 MSK 2026","2645","","Получение заказов конкретного пользователя","","GetUserOrdersTest","shouldReturnUserOrdersWhenAuthorized","shouldReturnUserOrdersWhenAuthorized","Авторизованный пользователь получает список своих заказов — код 200"
"passed","Mon Apr 13 22:07:53 MSK 2026","Mon Apr 13 22:07:54 MSK 2026","1135","","Изменение данных пользователя","","UpdateUserTest","shouldUpdateEmailWithAuth","shouldUpdateEmailWithAuth","С авторизацией: изменение email пользователя — код 200 и success: true"
"passed","Mon Apr 13 22:07:40 MSK 2026","Mon Apr 13 22:07:43 MSK 2026","3127","","Логин пользователя","","LoginUserTest","shouldLoginWithValidCredentials","shouldLoginWithValidCredentials","Успешный логин под существующим пользователем — код 200 и accessToken в ответе"
"passed","Mon Apr 13 22:07:59 MSK 2026","Mon Apr 13 22:08:00 MSK 2026","1349","","Изменение данных пользователя","","UpdateUserTest","shouldUpdatePasswordWithAuth","shouldUpdatePasswordWithAuth","С авторизацией: изменение password пользователя — код 200 и success: true"
"passed","Mon Apr 13 22:08:15 MSK 2026","Mon Apr 13 22:08:15 MSK 2026","157","","Создание пользователя","","CreateUserTest","shouldReturnErrorWhenPasswordIsMissing","shouldReturnErrorWhenPasswordIsMissing","Нельзя создать пользователя без обязательного поля password — код 403"
"passed","Mon Apr 13 22:08:16 MSK 2026","Mon Apr 13 22:08:17 MSK 2026","150","","Создание пользователя","","CreateUserTest","shouldReturnErrorWhenNameIsMissing","shouldReturnErrorWhenNameIsMissing","Нельзя создать пользователя без обязательного поля name — код 403"
"passed","Mon Apr 13 22:08:12 MSK 2026","Mon Apr 13 22:08:14 MSK 2026","1238","","Создание заказа","","CreateOrderTest","shouldReturnErrorWhenNoIngredientsWithoutAuth","shouldReturnErrorWhenNoIngredientsWithoutAuth","Без авторизации без ингредиентов — код 400"
"passed","Mon Apr 13 22:08:00 MSK 2026","Mon Apr 13 22:08:01 MSK 2026","1154","","Получение заказов конкретного пользователя","","GetUserOrdersTest","shouldReturnErrorWhenNotAuthorized","shouldReturnErrorWhenNotAuthorized","Неавторизованный пользователь получает ошибку 401"
"passed","Mon Apr 13 22:08:16 MSK 2026","Mon Apr 13 22:08:16 MSK 2026","163","","Создание пользователя","","CreateUserTest","shouldReturnErrorWhenEmailIsMissing","shouldReturnErrorWhenEmailIsMissing","Нельзя создать пользователя без обязательного поля email — код 403"
"passed","Mon Apr 13 22:07:56 MSK 2026","Mon Apr 13 22:07:59 MSK 2026","2228","","Изменение данных пользователя","","UpdateUserTest","shouldReturnErrorWhenUpdatePasswordWithoutAuth","shouldReturnErrorWhenUpdatePasswordWithoutAuth","Без авторизации: изменение password возвращает ошибку 401"
"passed","Mon Apr 13 22:08:11 MSK 2026","Mon Apr 13 22:08:12 MSK 2026","1164","","Создание заказа","","CreateOrderTest","shouldReturnErrorWithInvalidIngredientHashWithAuth","shouldReturnErrorWithInvalidIngredientHashWithAuth","С авторизацией и неверным хешем ингредиентов — код 500"
"passed","Mon Apr 13 22:08:04 MSK 2026","Mon Apr 13 22:08:05 MSK 2026","1124","","Создание заказа","","CreateOrderTest","shouldCreateOrderWithoutAuthAndWithIngredients","shouldCreateOrderWithoutAuthAndWithIngredients","Без авторизации с ингредиентами — код 200 и success: true"
"passed","Mon Apr 13 22:07:54 MSK 2026","Mon Apr 13 22:07:56 MSK 2026","2142","","Изменение данных пользователя","","UpdateUserTest","shouldReturnErrorWhenUpdateEmailWithoutAuth","shouldReturnErrorWhenUpdateEmailWithoutAuth","Без авторизации: изменение email возвращает ошибку 401"
"passed","Mon Apr 13 22:07:51 MSK 2026","Mon Apr 13 22:07:53 MSK 2026","2165","","Изменение данных пользователя","","UpdateUserTest","shouldUpdateNameWithAuth","shouldUpdateNameWithAuth","С авторизацией: изменение name пользователя — код 200 и success: true"
"passed","Mon Apr 13 22:08:07 MSK 2026","Mon Apr 13 22:08:11 MSK 2026","4681","","Создание заказа","","CreateOrderTest","shouldCreateOrderWithAuthAndIngredients","shouldCreateOrderWithAuthAndIngredients","С авторизацией и ингредиентами — код 200 и success: true"
